,prime,target,group,pair_index,mask,key_name,correct,key_rt,key_tDown,bm_dur,prime_dur,fm_dur,target_dur,frame_rate
0,fogo,fire,congruent,15,ZQQDGYRT,m,True,1.397197700000106,27508.564365400005,0.4816791999983252,0.098258199999691,0.04945679999946151,0.0503394000006665,60.2167683227359
1,escada,ladder,congruent,5,NNTJBAUK,m,True,0.7616035999999441,27510.514040400005,0.4821031999999832,0.11439290000271285,0.050111399999877904,0.049930599998333484,59.99030556656854
2,fapa,knife,control,118,BOQQUZDI,m,True,1.0157435000000987,27512.6863613,0.48115510000207,0.0990782999979274,0.05052989999967394,0.049075400002038805,58.911862551555224
3,peixe,bridge,incongruent,63,ZIGGKBKH,m,True,0.8172423000032722,27514.669748199998,0.4840062000002945,0.09922840000217548,0.049692299999151146,0.05024069999853964,59.471665616071576
4,garganta,throat,congruent,8,DWMHTEHY,m,True,0.8321175000019139,27516.7412875,0.4768238999968162,0.10180230000332813,0.04995950000011362,0.05029469999863068,59.349576125707614
5,cereja,cherry,congruent,2,XLVGCNDB,m,True,0.8631246999975701,27518.869649799995,0.4898659999998927,0.09955989999798476,0.05119010000271373,0.049077899999247165,60.179913870814744
6,cegar,blind,congruent,25,IHTLGOCU,z,True,0.7271939999991446,27521.083046499996,0.4779939000000013,0.09875910000118893,0.05000099999961094,0.05043039999873145,59.94341341776746
7,medade,half,control,134,ZJOPGIWP,z,True,0.8088882000010926,27523.1365214,0.4864594999999099,0.09786460000032092,0.050704400000540766,0.050710399998934015,60.54936438355803
8,creme,horse,incongruent,54,BRLOGIFO,m,True,1.0675010999984806,27525.3599696,0.4922236000020348,0.09723639999720037,0.05122510000001057,0.04954710000311025,60.357096727375705
9,verão,summer,congruent,47,VNCPGZHM,z,True,1.624066299998958,27528.202182300003,0.48386129999926203,0.10197989999869607,0.04997020000155317,0.04926319999867701,60.355748855539034
10,lobo,lake,incongruent,60,KCUHLVWO,m,True,1.3394543999966118,27530.7140146,0.4765566999994917,0.09984949999852688,0.050792800000635914,0.048886900000070455,60.79578028711995
11,tristeza,sadness,congruent,35,AHMUZZUW,z,True,0.9200782000007166,27533.017004,0.4866380999992544,0.10120150000147987,0.04989139999815961,0.04968840000219643,59.89322236371465
12,dúcida,doubt,control,126,EYRWYRLH,z,True,0.729717599999276,27534.989825,0.4834668999974383,0.10050050000063493,0.0490791000011086,0.06639039999936358,58.99228204016251
13,cantar,sing,congruent,46,RPPDLZVB,z,True,2.1427053999977943,27538.388246099996,0.4798648000032699,0.09873729999890203,0.05101690000083181,0.04919410000002245,60.90597639808124
14,garganta,strawberry,incongruent,58,MDSCQRNW,m,True,0.8681206000001112,27540.5590098,0.4784362999998848,0.10092679999797838,0.05011190000004717,0.050062300000718096,59.689198344104426
15,belhor,better,control,133,CXHWHZPE,z,True,0.9788083000021288,27542.7641994,0.4911226000003808,0.09912550000080957,0.05110870000135037,0.04889439999897149,60.28588773631657
