,response_time,group,pair_index,l1_l2,z_score_norm,exp_norm,rescaling_data
0,618.7,control,103,PorEng,-0.49919039671330634,0.0018393290131421779,0.28976222430427206
1,606.29,incongruent,78,PorEng,-0.6592201968764948,0.001624663696467328,0.2583373426856752
2,762.12,incongruent,52,PorEng,1.3502434420783398,0.007718351757623938,0.6529335798029932
3,614.76,control,123,PorEng,-0.5499976015999274,0.0017682685338490899,0.27978526752931054
4,666.4,incongruent,55,PorEng,0.11591205838613182,0.0029635884205939573,0.41054923906712926
5,638.02,congruent,43,PorEng,-0.2500545595535344,0.002231336734383765,0.3386847636170267
6,621.66,congruent,1,PorEng,-0.46102051690000884,0.0018945869346635729,0.29725760299815146
7,730.69,congruent,32,PorEng,0.9449463736553768,0.005636711557827296,0.5733458256311567
8,698.09,incongruent,67,PorEng,0.5245618865224265,0.004068607642496048,0.49079537109721216
9,741.7,incongruent,84,PorEng,1.0869228522852472,0.006292766746716559,0.6012255957053508
10,748.28,congruent,22,PorEng,1.1717734634918355,0.006720757277856675,0.6178876199640425
11,714.84,congruent,47,PorEng,0.7405569834388962,0.004810499083715582,0.5332100985034567
12,637.67,congruent,48,PorEng,-0.2545678899368639,0.002223540706820102,0.337798485730926
13,602.72,congruent,12,PorEng,-0.705256166786452,0.0015676863003228872,0.24929730824744892
14,629.83,congruent,29,PorEng,-0.3556664905234373,0.0020558735408719095,0.3179458610822721
15,625.39,incongruent,85,PorEng,-0.4129213102433858,0.00196658952784222,0.30670279304145254
16,672.01,incongruent,91,PorEng,0.188254296816066,0.0031345976932656717,0.4247550074700565
17,826.85,congruent,0,PorEng,2.1849516584009123,0.014744952758216337,0.8168443442809756
18,766.12,incongruent,70,PorEng,1.4018243607449594,0.00803334366834175,0.6630624699298575
19,806.81,congruent,42,PorEng,1.926531255881147,0.012067318382966338,0.766098604745385
20,674.13,congruent,40,PorEng,0.21559218370937447,0.003201760575459184,0.43012331923729463
21,617.65,incongruent,98,PorEng,-0.512730387863295,0.0018201170975700879,0.28710339064596996
22,646.34,incongruent,58,PorEng,-0.14276624872696492,0.002424925587479675,0.35975285508090465
23,558.28,congruent,21,PorEng,-1.2783201731725968,0.001005214386179498,0.13676533893798587
