,prime,target,class,pair_index,mask,key_name,correct,key_rt,key_tDown,bm_dur,prime_dur,fm_dur,target_dur,frame_rate
0,fogo,fire,congruent,15,ZQQDGYRT,m,True,1.3971977000001061,27508.5643654,0.4816791999983252,0.09825819999969099,0.04945679999946151,0.0503394000006665,60.2167683227359
1,escada,ladder,congruent,5,NNTJBAUK,m,True,0.761603599999944,27510.5140404,0.4821031999999832,0.11439290000271285,0.050111399999877904,0.04993059999833349,59.99030556656854
2,fapa,knife,control,118,BOQQUZDI,m,True,1.0157435000000987,27512.6863613,0.48115510000206996,0.09907829999792739,0.050529899999673944,0.049075400002038805,58.91186255155522
3,peixe,bridge,incongruent,63,ZIGGKBKH,m,True,0.8172423000032722,27514.6697482,0.4840062000002945,0.09922840000217548,0.049692299999151146,0.05024069999853964,59.471665616071576
4,garganta,throat,congruent,8,DWMHTEHY,m,True,0.8321175000019139,27516.7412875,0.4768238999968162,0.10180230000332813,0.04995950000011362,0.050294699998630676,59.349576125707614
5,cereja,cherry,congruent,2,XLVGCNDB,m,True,0.8631246999975701,27518.8696498,0.48986599999989267,0.09955989999798476,0.051190100002713734,0.049077899999247165,60.179913870814744
6,cegar,blind,congruent,25,IHTLGOCU,z,True,0.7271939999991446,27521.0830465,0.4779939000000013,0.09875910000118893,0.05000099999961094,0.050430399998731446,59.94341341776746
7,medade,half,control,134,ZJOPGIWP,z,True,0.8088882000010926,27523.1365214,0.4864594999999099,0.09786460000032093,0.05070440000054077,0.05071039999893401,60.54936438355802
8,creme,horse,incongruent,54,BRLOGIFO,m,True,1.0675010999984806,27525.3599696,0.4922236000020348,0.09723639999720035,0.05122510000001057,0.049547100003110245,60.35709672737571
9,verão,summer,congruent,47,VNCPGZHM,z,True,1.6240662999989581,27528.2021823,0.483861299999262,0.10197989999869606,0.04997020000155317,0.04926319999867701,60.355748855539034
10,lobo,lake,incongruent,60,KCUHLVWO,m,True,1.3394543999966118,27530.7140146,0.4765566999994917,0.09984949999852688,0.05079280000063591,0.048886900000070455,60.79578028711995
11,tristeza,sadness,congruent,35,AHMUZZUW,z,True,0.9200782000007166,27533.017004,0.48663809999925434,0.10120150000147987,0.04989139999815961,0.04968840000219643,59.89322236371465
12,dúcida,doubt,control,126,EYRWYRLH,z,True,0.729717599999276,27534.989825,0.4834668999974383,0.10050050000063493,0.0490791000011086,0.06639039999936358,58.99228204016251
13,cantar,sing,congruent,46,RPPDLZVB,z,True,2.1427053999977943,27538.3882461,0.4798648000032699,0.09873729999890202,0.05101690000083181,0.049194100000022445,60.90597639808125
14,garganta,strawberry,incongruent,58,MDSCQRNW,m,True,0.8681206000001112,27540.5590098,0.4784362999998848,0.10092679999797838,0.05011190000004717,0.050062300000718096,59.68919834410442
15,belhor,better,control,133,CXHWHZPE,z,True,0.9788083000021288,27542.7641994,0.49112260000038077,0.09912550000080955,0.05110870000135037,0.048894399998971494,60.28588773631657
16,pei,law,control,132,UOBRSSQP,z,True,0.9293988999997964,27544.8445808,0.4731958999982453,0.10180129999935161,0.05053860000043642,0.05005460000029416,59.93392883654862
17,petigo,danger,control,145,YGSRYSSX,z,True,0.7442876000022807,27546.7930951,0.4792799999995623,0.0983622000021569,0.049891099999513244,0.050079799999366514,59.44091068254729
18,apegria,joy,control,130,TJFVJPWU,z,True,1.019754600001761,27549.0833248,0.48776770000040415,0.09820380000019213,0.04948819999845,0.05050860000119428,60.454996394913856
19,melhor,law,incongruent,83,JEIJLAHA,z,True,1.897200100000191,27552.1944534,0.4899920999996539,0.09677250000095228,0.050832299999456154,0.0498239000007743,59.43437493988124
20,faca,knife,congruent,18,QWOAKQFL,m,True,0.8110532000027888,27554.2301311,0.48947509999925387,0.10072800000125426,0.05045160000008764,0.04980449999857228,59.76643278076608
